人生得意须尽欢,莫使金樽空对月
三十功名尘与土,八千里路云和月
烽火连三月,家书抵万金
举头望明月,低头思故乡
床前明月光,疑是地上霜
北风卷地白草折,胡天八月即飞雪
行宫见月伤心色,夜雨闻铃肠断声
七月七日长生殿,夜半无人私语时
昭阳殿里恩爱绝,蓬莱宫中日月长
八月秋高风怒号,卷我屋上三重茅
江天一色无纤尘,皎皎空中孤月轮
滟滟随波千万里,何处春江无月明
不知江月待何人,但见长江送流水
春江潮水连海平,海上明月共潮生
人生代代无穷已,江月年年只相似
斜月沉沉藏海雾,碣石潇湘无限路
可怜楼上月徘徊,应照离人妆镜台
此时相望不相闻,愿逐月华流照君
不知乘月几人归,落月摇情满江树
江水流春去欲尽,江潭落月复西斜
不知细叶谁裁出,二月春风似剪刀
小楼昨夜又东风,故国不堪回首月明中
明月别枝惊鹊,清风半夜鸣蝉
故人西辞黄鹤楼,烟花三月下扬州
从今若许闲乘月,拄杖无时夜叩门
明月松间照,清泉石上流
晓镜但愁云鬓改,夜吟应觉月光寒
新年都未有芳华,二月初惊见草芽
毕竟西湖六月中,风光不与四时同
春风又绿江南岸,明月何时照我还
料得年年肠断处,明月夜,短松冈
更深月色半人家,北斗阑干南斗斜
会挽雕弓如满月,西北望,射天狼
海上生明月,天涯共此时
我寄愁心与明月,随君直到夜郎西
云中谁寄锦书来,雁字回时,月满西楼
明明如月,何时可掇
月明星稀,乌鹊南飞
田家少闲月,五月人倍忙
月下飞天镜,云生结海楼
深林人不知,明月来相照
鸟宿池边树,僧敲月下门
月出惊山鸟,时鸣春涧中
露从今夜白,月是故乡明
烟笼寒水月笼沙,夜泊秦淮近酒家
晨兴理荒秽,带月荷锄归
停车坐爱枫林晚,霜叶红于二月花
又闻子规啼夜月,愁空山
秋风清,秋月明,落叶聚还散,寒鸦栖复惊
小时不识月,呼作白玉盘
湖光秋月两相和,潭面无风镜未磨
草长莺飞二月天,拂堤杨柳醉春烟
沧海月明珠有泪,蓝田日暖玉生烟
日月忽其不淹兮,春与秋其代序
江南忆,最忆是杭州；山寺月中寻桂子,郡亭枕上看潮头
月落乌啼霜满天,江枫渔火对愁眠
青女素娥俱耐冷,月中霜里斗婵娟
可怜九月初三夜,露似真珠月似弓
无言独上西楼,月如钩
野旷天低树,江清月近人
东船西舫悄无言,唯见江心秋月白
今年欢笑复明年,秋月春风等闲度
春江花朝秋月夜,往往取酒还独倾
去来江口守空船,绕船月明江水寒
醉不成欢惨将别,别时茫茫江浸月
商人重利轻别离,前月浮梁买茶去
三月七日,沙湖道中遇雨
明月出天山,苍茫云海间
长安一片月,万户捣衣声
解落三秋叶,能开二月花
月上柳梢头,人约黄昏后
今年元夜时,月与灯依旧
白发渔樵江渚上,惯看秋月春风
玉颗珊珊下月轮,殿前拾得露华新
鸡声茅店月,人迹板桥霜
人间四月芳菲尽,山寺桃花始盛开
塞雁高飞人未还,一帘风月闲
乾坤空落落,岁月去堂堂；末路惊风雨,穷边饱雪霜
雨横风狂三月暮,门掩黄昏,无计留春住
八月湖水平,涵虚混太清
控弦破左的,右发摧月支
